{'threshold': 0.9823275138525445, 'roc_auc': 0.5637817279792652, 'acc': 0.5424046417851898, 'precision': 0.5161334729928979, 'recall': 0.597845852873833, 'f1-score': 0.392214005103045, 'support': 186529.81196938318}
{'threshold': 1.250566127723688, 'roc_auc': 0.46092112318289663, 'acc': 0.5638090372492314, 'precision': 0.509503780209326, 'recall': 0.5305458661353979, 'f1-score': 0.38158601384195384, 'support': 186529.81196938318}
{'threshold': 1.2833240734899314, 'roc_auc': 0.5485406847135658, 'acc': 0.5466194703183017, 'precision': 0.516588316982355, 'recall': 0.5809073380274514, 'f1-score': 0.3968456893452356, 'support': 186529.81196938318}
{'threshold': 1.6622098375393186, 'roc_auc': 0.6275042335225887, 'acc': 0.6179741454024614, 'precision': 0.5192158923000125, 'recall': 0.6105747651210469, 'f1-score': 0.4310599250801785, 'support': 186529.81196938318}
{'threshold': 1.3615128325281487, 'roc_auc': 0.7369588047322179, 'acc': 0.7183235565124575, 'precision': 0.5542374087685678, 'recall': 0.733744219827485, 'f1-score': 0.5114501356388306, 'support': 186529.81196938318}
{'threshold': 2.4231164506693834, 'roc_auc': 0.6619633876409496, 'acc': 0.593655861987173, 'precision': 0.5335741087555086, 'recall': 0.66005709728419, 'f1-score': 0.4316182407931525, 'support': 186529.81196938318}
{'threshold': 2.032356935467576, 'roc_auc': 0.6995684638910435, 'acc': 0.6461131435139993, 'precision': 0.5442701425944921, 'recall': 0.6796855663464135, 'f1-score': 0.4667711782162841, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.2094182171191525, 'acc': 0.6110625564485964, 'precision': 0.487804572308317, 'recall': 0.46615685337492685, 'f1-score': 0.35636117457280364, 'support': 186529.81196938318}
{'threshold': 1.4046775155467965, 'roc_auc': 0.29463520298603485, 'acc': 0.5193909481539598, 'precision': 0.4658712458158649, 'recall': 0.5183972014907579, 'f1-score': 0.32923366046646274, 'support': 186529.81196938318}
{'threshold': 1.5447993041446448, 'roc_auc': 0.5873530252652467, 'acc': 0.5179750577030097, 'precision': 0.5137960815887307, 'recall': 0.60059705571089, 'f1-score': 0.3789424292191237, 'support': 186529.81196938318}
{'threshold': 1.7300730447782302, 'roc_auc': 0.6873725654199013, 'acc': 0.6152901571893845, 'precision': 0.5289068323221933, 'recall': 0.6687838381619842, 'f1-score': 0.4382724236371564, 'support': 186529.81196938318}
{'threshold': 1.22849313395377, 'roc_auc': 0.581675453492698, 'acc': 0.5574302318155693, 'precision': 0.5179461696372873, 'recall': 0.6040150473909158, 'f1-score': 0.39967744665467925, 'support': 186529.81196938318}
{'threshold': 1.4649284725370264, 'roc_auc': 0.6686445951445344, 'acc': 0.5769242699314863, 'precision': 0.5258893672078577, 'recall': 0.669407218959596, 'f1-score': 0.41606039045022775, 'support': 186529.81196938318}
{'threshold': 1.1695162272793276, 'roc_auc': 0.5289168828933707, 'acc': 0.48251393539087517, 'precision': 0.5102677655513128, 'recall': 0.565889596454586, 'f1-score': 0.35522447811307784, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.23058180504862708, 'acc': 0.6267304060649741, 'precision': 0.4842381751272, 'recall': 0.4514429794988947, 'f1-score': 0.37886310001906626, 'support': 186529.81196938318}
{'threshold': 1.6140856360790574, 'roc_auc': 0.33797221113473264, 'acc': 0.46562177843868885, 'precision': 0.4428774924232366, 'recall': 0.5447572397294741, 'f1-score': 0.3138505501911305, 'support': 186529.81196938318}
{'threshold': 1.0694248842936176, 'roc_auc': 0.6530563616144446, 'acc': 0.6272777863939496, 'precision': 0.5330971752852112, 'recall': 0.6495400718121924, 'f1-score': 0.44594337390470934, 'support': 186529.81196938318}
{'threshold': 1.9334927002418525, 'roc_auc': 0.4926508086995347, 'acc': 0.6395135613476504, 'precision': 0.5000036604884668, 'recall': 0.5305149861118136, 'f1-score': 0.4177956374749918, 'support': 186529.81196938318}
{'threshold': 1.2685663143292745, 'roc_auc': 0.4354851174839299, 'acc': 0.7010336365212155, 'precision': 0.4984134684200373, 'recall': 0.5476095438669142, 'f1-score': 0.42841806930056975, 'support': 186529.81196938318}
{'threshold': 1.0423071490306983, 'roc_auc': 0.7086910656701608, 'acc': 0.6548493335644495, 'precision': 0.5399081784156902, 'recall': 0.6851492169366284, 'f1-score': 0.4691241607079516, 'support': 186529.81196938318}
{'threshold': 1.18548137000208, 'roc_auc': 0.5068393554943375, 'acc': 0.4765164715863994, 'precision': 0.4981524632320756, 'recall': 0.5237489471838357, 'f1-score': 0.34909573581353953, 'support': 186529.81196938318}
{'threshold': 1.0453392968795043, 'roc_auc': 0.38222413032536456, 'acc': 0.36747831005446435, 'precision': 0.5012567720326372, 'recall': 0.4793118960974716, 'f1-score': 0.28308388177098787, 'support': 186529.81196938318}
{'threshold': 1.125548973105073, 'roc_auc': 0.48122556978098074, 'acc': 0.36369956118343627, 'precision': 0.5103651108628757, 'recall': 0.5547015274938324, 'f1-score': 0.28573480425270886, 'support': 186529.81196938318}
{'threshold': 1.5901262927085593, 'roc_auc': 0.5732179371144921, 'acc': 0.6143413646191601, 'precision': 0.5124487558112596, 'recall': 0.5772475391464144, 'f1-score': 0.41995248923200457, 'support': 186529.81196938318}
{'threshold': 2.767123972250404, 'roc_auc': 0.5515285124020304, 'acc': 0.5011942014177151, 'precision': 0.5062755622907229, 'recall': 0.5756352169056315, 'f1-score': 0.3659530854545788, 'support': 186529.81196938318}
{'threshold': 1.554938994996295, 'roc_auc': 0.47020669172876706, 'acc': 0.3474441900139582, 'precision': 0.5042736099421165, 'recall': 0.518784521201433, 'f1-score': 0.2781246060795127, 'support': 186529.81196938318}
{'threshold': 1.8493734091091, 'roc_auc': 0.5005269284934258, 'acc': 0.3944422650598013, 'precision': 0.5149723796511271, 'recall': 0.5689865532072842, 'f1-score': 0.30526705036672763, 'support': 186529.81196938318}
{'threshold': 1.4834959463069026, 'roc_auc': 0.5786839819276232, 'acc': 0.6526890058660926, 'precision': 0.5118610026628807, 'recall': 0.6144056164431579, 'f1-score': 0.43861426161142214, 'support': 186529.81196938318}
{'threshold': 2.042231149070004, 'roc_auc': 0.38368243094550974, 'acc': 0.48924671343727477, 'precision': 0.4978030722705915, 'recall': 0.4843548637865685, 'f1-score': 0.33935368117766773, 'support': 186529.81196938318}
{'threshold': 1.5415177463139873, 'roc_auc': 0.6592791563936611, 'acc': 0.6591480937480043, 'precision': 0.5134847595219144, 'recall': 0.6276555365032453, 'f1-score': 0.4433477272204008, 'support': 186529.81196938318}
{'threshold': 1.3191986864590812, 'roc_auc': 0.3352841264041712, 'acc': 0.3809913057757748, 'precision': 0.4880210892168028, 'recall': 0.4319104331462757, 'f1-score': 0.2767189381740078, 'support': 186529.81196938318}
{'threshold': 2.0832360807749803, 'roc_auc': 0.457758112061904, 'acc': 0.4364865481284154, 'precision': 0.4959840718549125, 'recall': 0.4827726532524587, 'f1-score': 0.3227250246113191, 'support': 186529.81196938318}
