{'threshold': 0.7792865154815255, 'roc_auc': 0.38667128602659606, 'acc': 0.35095654712488483, 'precision': 0.46204619117257856, 'recall': 0.5184536353681104, 'f1-score': 0.25381608532198785, 'support': 186529.81196938318}
{'threshold': 0.7717395957154678, 'roc_auc': 0.2860883089451224, 'acc': 0.2755275377920502, 'precision': 0.32827599523481094, 'recall': 0.48168758751795515, 'f1-score': 0.20974600721605866, 'support': 186529.81196938318}
{'threshold': 0.9024433319530548, 'roc_auc': 0.3814949385508393, 'acc': 0.681419174732924, 'precision': 0.49340226229492545, 'recall': 0.5152380385386087, 'f1-score': 0.4129313567908908, 'support': 186529.81196938318}
{'threshold': 0.8152120390684238, 'roc_auc': 0.39910367117045253, 'acc': 0.599295703976718, 'precision': 0.4948408229999695, 'recall': 0.49243283782806946, 'f1-score': 0.39430539361800165, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.4104592788193181, 'acc': 0.7167252059518487, 'precision': 0.49818157499875676, 'recall': 0.5524475456656329, 'f1-score': 0.43173534295441796, 'support': 186529.81196938318}
{'threshold': 0.85350580869494, 'roc_auc': 0.4643830745013681, 'acc': 0.5052867816773557, 'precision': 0.4978544948914374, 'recall': 0.5131771686249309, 'f1-score': 0.3578867854997152, 'support': 186529.81196938318}
{'threshold': 0.7959319811149071, 'roc_auc': 0.3939563734410725, 'acc': 0.36270150438360416, 'precision': 0.47853132847074686, 'recall': 0.5084777562338464, 'f1-score': 0.26451819643337127, 'support': 186529.81196938318}
{'threshold': 0.8106614263168225, 'roc_auc': 0.4690444096476601, 'acc': 0.5338527364454946, 'precision': 0.4988977733094183, 'recall': 0.5076138939401355, 'f1-score': 0.3761806658699179, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.31777066555813904, 'acc': 0.7028199209947725, 'precision': 0.49108973122671823, 'recall': 0.500799078954202, 'f1-score': 0.41877579814692956, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.37594499136286635, 'acc': 0.7348434948409404, 'precision': 0.4984454029144563, 'recall': 0.5496985582360248, 'f1-score': 0.43933886874639305, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.263901607231719, 'acc': 0.6609307290193681, 'precision': 0.48972479041446726, 'recall': 0.490245950903403, 'f1-score': 0.38714859836341214, 'support': 186529.81196938318}
{'threshold': 0.769739978339743, 'roc_auc': 0.32270013610210346, 'acc': 0.31509218797040495, 'precision': 0.35371831152621425, 'recall': 0.4946546691883747, 'f1-score': 0.23160041502047252, 'support': 186529.81196938318}
{'threshold': 0.87788734924061, 'roc_auc': 0.3194478548535366, 'acc': 0.6571209619296982, 'precision': 0.4919088354779693, 'recall': 0.5009042538348865, 'f1-score': 0.4011462963296269, 'support': 186529.81196938318}
{'threshold': 0.8866979903277273, 'roc_auc': 0.30748564428979636, 'acc': 0.624482497513981, 'precision': 0.4924151782655942, 'recall': 0.5048614929837062, 'f1-score': 0.3836160956260352, 'support': 186529.81196938318}
{'threshold': 0.8025607985348858, 'roc_auc': 0.3321963745978901, 'acc': 0.26516197896234933, 'precision': 0.4356094401382795, 'recall': 0.49312337015968954, 'f1-score': 0.20757513405367678, 'support': 186529.81196938318}
